Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Gen 0,Allocated
SixRouteVarExtended,DefaultJob,False,Default,Default,Default,Default,Default,Default,00000000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,325.65 ns,4.266 ns,3.990 ns,0.0792,664 B
SixRouteVarParamsOnly,DefaultJob,False,Default,Default,Default,Default,Default,Default,00000000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,324.88 ns,1.258 ns,1.177 ns,0.0849,712 B
SixRouteVarExtendedConvertToDictionary,DefaultJob,False,Default,Default,Default,Default,Default,Default,00000000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,426.02 ns,1.443 ns,1.350 ns,0.1240,"1,040 B"
FiveRouteVarExtended,DefaultJob,False,Default,Default,Default,Default,Default,Default,00000000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,255.17 ns,1.266 ns,1.184 ns,0.0687,576 B
FiveRouteVarParamsOnly,DefaultJob,False,Default,Default,Default,Default,Default,Default,00000000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,279.80 ns,3.051 ns,2.854 ns,0.0744,624 B
FourRouteVarExtended,DefaultJob,False,Default,Default,Default,Default,Default,Default,00000000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,196.84 ns,2.099 ns,1.861 ns,0.0572,480 B
FourRouteVarParamsOnly,DefaultJob,False,Default,Default,Default,Default,Default,Default,00000000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,211.78 ns,0.836 ns,0.782 ns,0.0629,528 B
ThreeRouteVarExtended,DefaultJob,False,Default,Default,Default,Default,Default,Default,00000000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,140.76 ns,0.602 ns,0.534 ns,0.0429,360 B
ThreeRouteVarParamsOnly,DefaultJob,False,Default,Default,Default,Default,Default,Default,00000000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,143.59 ns,1.107 ns,0.924 ns,0.0515,432 B
TwoRouteVarExtended,DefaultJob,False,Default,Default,Default,Default,Default,Default,00000000000000,Empty,RyuJit,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,87.75 ns,0.955 ns,0.894 ns,0.0334,280 B
